"year","news","pages","sort","RandID"
"1955","Daily News Record - 1955 June 21","12","12960","108098992807"
"1955","Daily News Record - 1955 June 22","16","12961","142728864230"
"1955","Daily News Record - 1955 June 23","18","12962","487645058687"
"1955","Daily News Record - 1955 June 24","16","12963","408640256886"
"1955","Daily News Record - 1955 June 25","16","12964","800122880753"
"1955","Daily News Record - 1955 June 27","14","12965","437225552699"
"1955","Daily News Record - 1955 June 28","12","12966","922424743325"
"1955","Daily News Record - 1955 June 29","16","12967","166098670788"
"1955","Daily News Record - 1955 June 30","20","12968","32740740708"
"1955","Daily News Record - 1955 July 01","18","12969","331747106200"
"1955","Daily News Record - 1955 July 02","18","12970","466886714180"
"1955","Daily News Record - 1955 July 05","14","12971","933093368865"
"1955","Daily News Record - 1955 July 06","14","12972","818523443042"
"1955","Daily News Record - 1955 July 07","18","12973","758998512231"
"1955","Daily News Record - 1955 July 08","16","12974","288794824495"
"1955","Daily News Record - 1955 July 09","12","12975","211120877560"
"1955","Daily News Record - 1955 July 11","12","12976","501365810541"
"1955","Daily News Record - 1955 July 12","12","12977","510877316856"
"1955","Daily News Record - 1955 July 13","14","12978","794315876225"
"1955","Daily News Record - 1955 July 14","18","12979","320145423237"
"1955","Daily News Record - 1955 July 15","14","12980","475567334774"
"1955","Daily News Record - 1955 July 16","14","12981","276082754848"
"1955","Daily News Record - 1955 July 18","12","12982","43851454121"
"1955","Daily News Record - 1955 July 19","12","12983","277936749613"
"1955","Daily News Record - 1955 July 20","21","12984","808615628371"
"1955","Daily News Record - 1955 July 21","16","12985","45516055672"
"1955","Daily News Record - 1955 July 22","14","12986","331353379492"
"1955","Daily News Record - 1955 July 23","14","12987","363254408883"
"1955","Daily News Record - 1955 July 25","12","12988","314822271395"
"1955","Daily News Record - 1955 July 26","10","12989","39311036646"
"1955","Daily News Record - 1955 July 27","16","12990","908354473119"
"1955","Daily News Record - 1955 July 28","18","12991","345330919117"
"1955","Daily News Record - 1955 July 29","16","12992","315437272526"
"1955","Daily News Record - 1955 July 30","16","12993","99373157097"
"1955","Daily News Record - 1955 August 01","14","12994","288047879261"
"1955","Daily News Record - 1955 August 02","12","12995","542770243003"
"1955","Daily News Record - 1955 August 03","16","12996","790594928258"
"1955","Daily News Record - 1955 August 04","18","12997","312594269837"
"1955","Daily News Record - 1955 August 05","16","12998","300099765213"
"1955","Daily News Record - 1955 August 06","14","12999","586892105524"
"1955","Daily News Record - 1955 August 08","12","13000","879420425802"
"1955","Daily News Record - 1955 August 09","12","13001","482449368806"
"1955","Daily News Record - 1955 August 10","14","13002","83481773361"
